run,name,RA,EIS,preference,growth,tech_change,tech_scale,dam_func,baseline_num,tip_on,bs_premium,crra_on,d_unc,t_unc,d_var_mult,t_var_mult,no_free_lunch
92,all-ra15-tbs0,15,0.9,0.005,0.015,1.5,0,0,2,1,0,0,1,1,1,1,0
93,all-ra15-tbs102,15,0.9,0.005,0.015,1.5,0,0,2,1,100,0,1,1,1,1,0
94,all-ra15-tbs103,15,0.9,0.005,0.015,1.5,0,0,2,1,1000,0,1,1,1,1,0
95,all-ra1.2-extech0,1.2,0.9,0.005,0.015,0,0,0,2,1,10000,0,1,1,1,1,0
96,all-ra1.2-extech3,1.2,0.9,0.005,0.015,3,0,0,2,1,10000,0,1,1,1,1,0
97,all-ra15-extech0,15,0.9,0.005,0.015,0,0,0,2,1,10000,0,1,1,1,1,0
98,all-ra15-extech3,15,0.9,0.005,0.015,3,0,0,2,1,10000,0,1,1,1,1,0
99,all-ra1.2-endtech1.5,1.2,0.9,0.005,0.015,1.5,1.5,0,2,1,10000,0,1,1,1,1,0
100,all-ra1.2-endtech3,1.2,0.9,0.005,0.015,1.5,3,0,2,1,10000,0,1,1,1,1,0
101,all-ra15-endtech1.5,15,0.9,0.005,0.015,1.5,1.5,0,2,1,10000,0,1,1,1,1,0
102,all-ra15-endtech3,15,0.9,0.005,0.015,1.5,3,0,2,1,10000,0,1,1,1,1,0
103,all-eis0.6-pref25,7,0.6,0.0025,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
104,all-eis0.6-pref75,7,0.6,0.0075,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
105,all-eis0.9-pref25,7,0.9,0.0025,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
106,all-eis0.9-pref75,7,0.9,0.0075,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
107,all-eis1.2-pref25,7,1.2,0.0025,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
108,all-eis1.2-pref75,7,1.2,0.0075,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
109,all-eis0.6-crra,7,0.6,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
110,all-eis1.2-crra,7,1.2,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
111,all-eis0.6-ssp1,7,0.6,0.005,0.015,1.5,0,0,1,1,10000,0,1,1,1,1,0
112,all-eis0.6-ssp5,7,0.6,0.005,0.015,1.5,0,0,5,1,10000,0,1,1,1,1,0
113,all-eis1.2-ssp1,7,1.2,0.005,0.015,1.5,0,0,1,1,10000,0,1,1,1,1,0
114,all-eis1.2-ssp5,7,1.2,0.005,0.015,1.5,0,0,5,1,10000,0,1,1,1,1,0
115,all-eis0.6-tbs0,7,0.6,0.005,0.015,1.5,0,0,2,1,0,0,1,1,1,1,0
116,all-eis0.6-tbs102,7,0.6,0.005,0.015,1.5,0,0,2,1,100,0,1,1,1,1,0
117,all-eis0.6-tbs103,7,0.6,0.005,0.015,1.5,0,0,2,1,1000,0,1,1,1,1,0
118,all-eis1.2-tbs0,7,1.2,0.005,0.015,1.5,0,0,2,1,0,0,1,1,1,1,0
119,all-eis1.2-tbs102,7,1.2,0.005,0.015,1.5,0,0,2,1,100,0,1,1,1,1,0
120,all-eis1.2-tbs103,7,1.2,0.005,0.015,1.5,0,0,2,1,1000,0,1,1,1,1,0
121,all-eis0.6-extech0,7,0.6,0.005,0.015,0,0,0,2,1,10000,0,1,1,1,1,0
122,all-eis0.6-extech3,7,0.6,0.005,0.015,3,0,0,2,1,10000,0,1,1,1,1,0
123,all-eis1.2-extech0,7,1.2,0.005,0.015,0,0,0,2,1,10000,0,1,1,1,1,0
124,all-eis1.2-extech3,7,1.2,0.005,0.015,3,0,0,2,1,10000,0,1,1,1,1,0
125,all-eis0.6-endtech1.5,7,0.6,0.005,0.015,1.5,1.5,0,2,1,10000,0,1,1,1,1,0
126,all-eis0.6-endtech3,7,0.6,0.005,0.015,1.5,3,0,2,1,10000,0,1,1,1,1,0
127,all-eis1.2-endtech1.5,7,1.2,0.005,0.015,1.5,1.5,0,2,1,10000,0,1,1,1,1,0
128,all-eis1.2-endtech3,7,1.2,0.005,0.015,1.5,3,0,2,1,10000,0,1,1,1,1,0
129,all-pref25-crra,7,0.9,0.0025,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
130,all-pref75-crra,7,0.9,0.0075,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
131,all-pref25-ssp1,7,0.9,0.0025,0.015,1.5,0,0,1,1,10000,0,1,1,1,1,0
132,all-pref25-ssp5,7,0.9,0.0025,0.015,1.5,0,0,5,1,10000,0,1,1,1,1,0
133,all-pref75-ssp1,7,0.9,0.0075,0.015,1.5,0,0,1,1,10000,0,1,1,1,1,0
134,all-pref75-ssp5,7,0.9,0.0075,0.015,1.5,0,0,5,1,10000,0,1,1,1,1,0
135,all-pref25-tbs0,7,0.9,0.0025,0.015,1.5,0,0,2,1,0,0,1,1,1,1,0
136,all-pref25-tbs102,7,0.9,0.0025,0.015,1.5,0,0,2,1,100,0,1,1,1,1,0
137,all-pref25-tbs103,7,0.9,0.0025,0.015,1.5,0,0,2,1,1000,0,1,1,1,1,0
138,all-pref75-tbs0,7,0.9,0.0075,0.015,1.5,0,0,2,1,0,0,1,1,1,1,0
139,all-pref75-tbs102,7,0.9,0.0075,0.015,1.5,0,0,2,1,100,0,1,1,1,1,0
140,all-pref75-tbs103,7,0.9,0.0075,0.015,1.5,0,0,2,1,1000,0,1,1,1,1,0
141,all-pref25-extech0,7,0.9,0.0025,0.015,0,0,0,2,1,10000,0,1,1,1,1,0
142,all-pref25-extech3,7,0.9,0.0025,0.015,3,0,0,2,1,10000,0,1,1,1,1,0
143,all-pref75-extech0,7,0.9,0.0075,0.015,0,0,0,2,1,10000,0,1,1,1,1,0
144,all-pref75-extech3,7,0.9,0.0075,0.015,3,0,0,2,1,10000,0,1,1,1,1,0
145,all-pref25-endtech1.5,7,0.9,0.0025,0.015,1.5,1.5,0,2,1,10000,0,1,1,1,1,0
146,all-pref25-endtech3,7,0.9,0.0025,0.015,1.5,3,0,2,1,10000,0,1,1,1,1,0
147,all-pref75-endtech1.5,7,0.9,0.0075,0.015,1.5,1.5,0,2,1,10000,0,1,1,1,1,0
148,all-pref75-endtech3,7,0.9,0.0075,0.015,1.5,3,0,2,1,10000,0,1,1,1,1,0
149,all-ssp1-crra,7,0.9,0.005,0.015,1.5,0,0,1,1,10000,1,1,1,1,1,0
150,all-ssp5-crra,7,0.9,0.005,0.015,1.5,0,0,5,1,10000,1,1,1,1,1,0
151,all-tbs0-crra,7,0.9,0.005,0.015,1.5,0,0,2,1,0,1,1,1,1,1,0
152,all-tbs102-crra,7,0.9,0.005,0.015,1.5,0,0,2,1,100,1,1,1,1,1,0
153,all-tbs103-crra,7,0.9,0.005,0.015,1.5,0,0,2,1,1000,1,1,1,1,1,0
154,all-extech0-crra,7,0.9,0.005,0.015,0,0,0,2,1,10000,1,1,1,1,1,0
155,all-extech3-crra,7,0.9,0.005,0.015,3,0,0,2,1,10000,1,1,1,1,1,0
156,all-endtech1.5-crra,7,0.9,0.005,0.015,1.5,1.5,0,2,1,10000,1,1,1,1,1,0
157,all-endtech3-crra,7,0.9,0.005,0.015,1.5,3,0,2,1,10000,1,1,1,1,1,0
158,all-tbs0-ssp1,7,0.9,0.005,0.015,1.5,0,0,1,1,0,0,1,1,1,1,0
159,all-tbs0-ssp5,7,0.9,0.005,0.015,1.5,0,0,5,1,0,0,1,1,1,1,0
160,all-tbs102-ssp1,7,0.9,0.005,0.015,1.5,0,0,1,1,100,0,1,1,1,1,0
161,all-tbs102-ssp5,7,0.9,0.005,0.015,1.5,0,0,5,1,100,0,1,1,1,1,0
162,all-tbs103-ssp1,7,0.9,0.005,0.015,1.5,0,0,1,1,1000,0,1,1,1,1,0
163,all-tbs103-ssp5,7,0.9,0.005,0.015,1.5,0,0,5,1,1000,0,1,1,1,1,0
164,all-ssp1-extech0,7,0.9,0.005,0.015,0,0,0,1,1,10000,0,1,1,1,1,0
165,all-ssp1-extech3,7,0.9,0.005,0.015,3,0,0,1,1,10000,0,1,1,1,1,0
166,all-ssp5-extech0,7,0.9,0.005,0.015,0,0,0,5,1,10000,0,1,1,1,1,0
167,all-ssp5-extech3,7,0.9,0.005,0.015,3,0,0,5,1,10000,0,1,1,1,1,0
168,all-ssp1-endtech1.5,7,0.9,0.005,0.015,1.5,1.5,0,1,1,10000,0,1,1,1,1,0
169,all-ssp1-endtech3,7,0.9,0.005,0.015,1.5,3,0,1,1,10000,0,1,1,1,1,0
170,all-ssp5-endtech1.5,7,0.9,0.005,0.015,1.5,1.5,0,5,1,10000,0,1,1,1,1,0
171,all-ssp5-endtech3,7,0.9,0.005,0.015,1.5,3,0,5,1,10000,0,1,1,1,1,0
172,all-tbs0-extech0,7,0.9,0.005,0.015,0,0,0,2,1,0,0,1,1,1,1,0
173,all-tbs0-extech3,7,0.9,0.005,0.015,3,0,0,2,1,0,0,1,1,1,1,0
174,all-tbs102-extech0,7,0.9,0.005,0.015,0,0,0,2,1,100,0,1,1,1,1,0
175,all-tbs102-extech3,7,0.9,0.005,0.015,3,0,0,2,1,100,0,1,1,1,1,0
176,all-tbs103-extech0,7,0.9,0.005,0.015,0,0,0,2,1,1000,0,1,1,1,1,0
177,all-tbs103-extech3,7,0.9,0.005,0.015,3,0,0,2,1,1000,0,1,1,1,1,0
178,all-tbs0-endtech1.5,7,0.9,0.005,0.015,1.5,1.5,0,2,1,0,0,1,1,1,1,0
179,all-tbs0-endtech3,7,0.9,0.005,0.015,1.5,3,0,2,1,0,0,1,1,1,1,0
180,all-tbs102-endtech1.5,7,0.9,0.005,0.015,1.5,1.5,0,2,1,100,0,1,1,1,1,0
181,all-tbs102-endtech3,7,0.9,0.005,0.015,1.5,3,0,2,1,100,0,1,1,1,1,0
182,all-tbs103-endtech1.5,7,0.9,0.005,0.015,1.5,1.5,0,2,1,1000,0,1,1,1,1,0
183,all-tbs103-endtech3,7,0.9,0.005,0.015,1.5,3,0,2,1,1000,0,1,1,1,1,0
184,all-extech0-endtech1.5,7,0.9,0.005,0.015,0,1.5,0,2,1,10000,0,1,1,1,1,0
185,all-extech0-endtech3,7,0.9,0.005,0.015,0,3,0,2,1,10000,0,1,1,1,1,0
186,all-extech3-endtech1.5,7,0.9,0.005,0.015,3,1.5,0,2,1,10000,0,1,1,1,1,0
187,all-extech3-endtech3,7,0.9,0.005,0.015,3,3,0,2,1,10000,0,1,1,1,1,0
188,all-pref-switch,1.1,0.6,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
189,all-crra-only,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
190,all-dunc-off,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,0,1,1,1,0
191,all-tunc-off,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,1,0,1,1,0
192,burke-dunc-off,7,0.9,0.005,0.015,1.5,0,1,2,1,10000,0,0,1,1,1,0
193,burke-tunc-off,7,0.9,0.005,0.015,1.5,0,1,2,1,10000,0,1,0,1,1,0
194,rose-dunc-off,7,0.9,0.005,0.015,1.5,0,2,2,1,10000,0,0,1,1,1,0
195,rose-tunc-off,7,0.9,0.005,0.015,1.5,0,2,2,1,10000,0,1,0,1,1,0
196,hs-dunc-off,7,0.9,0.005,0.015,1.5,0,3,2,1,10000,0,0,1,1,1,0
197,hs-tunc-off,7,0.9,0.005,0.015,1.5,0,3,2,1,10000,0,1,0,1,1,0
198,all-ra4-crra,4,0.9,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
199,all-ra3-crra,3,0.9,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
200,all-ra25-crra,2.5,0.9,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
201,all-ra15-crra,1.5,0.9,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
202,all-ra1-crra,1,0.9,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
203,all-ra9-crra,9,0.9,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
204,all-ra11-crra,12,0.9,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
205,all-ra13-crra,13,0.9,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
206,all-ra18-crra,18,0.9,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
207,all-ra21-crra,21,0.9,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
208,all-crra-eis09,7,0.89999,0.005,0.015,1.5,0,0,2,1,10000,1,1,1,1,1,0
209,all-low-eis,7,0.11,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
210,all-eis-13,7,0.33,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
211,all-eis-14,7,0.25,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
212,all-eis-17,7,0.13,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
213,all-eis-19,7,0.07,0.005,0.015,1.5,0,0,2,1,10000,0,1,1,1,1,0
214,all-t-iso-m0.25,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,0,1,1,0.25,0
215,all-t-iso-m0.5,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,0,1,1,0.5,0
216,all-t-iso-m1,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,0,1,1,1,0
217,all-t-iso-m1.5,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,0,1,1,1.5,0
218,all-t-iso-m2,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,0,1,1,2,0
219,all-d-iso-m0.25,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,1,0,0.25,1,0
220,all-d-iso-m0.5,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,1,0,0.5,1,0
221,all-d-iso-m1,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,1,0,1,1,0
222,all-d-iso-m1.5,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,1,0,1.5,1,0
223,all-d-iso-m2,7,0.9,0.005,0.015,1.5,0,0,2,1,10000,0,1,0,2,1,0
224,burke-t-iso-m0.25,7,0.9,0.005,0.015,1.5,0,1,2,1,10000,0,0,1,1,0.25,0
225,burke-t-iso-m0.5,7,0.9,0.005,0.015,1.5,0,1,2,1,10000,0,0,1,1,0.5,0
226,burke-t-iso-m1,7,0.9,0.005,0.015,1.5,0,1,2,1,10000,0,0,1,1,1,0
227,burke-t-iso-m1.5,7,0.9,0.005,0.015,1.5,0,1,2,1,10000,0,0,1,1,1.5,0
228,burke-t-iso-m2,7,0.9,0.005,0.015,1.5,0,1,2,1,10000,0,0,1,1,2,0
229,burke-d-iso-m0.25,7,0.9,0.005,0.015,1.5,0,1,2,1,10000,0,1,0,0.25,1,0
230,burke-d-iso-m0.5,7,0.9,0.005,0.015,1.5,0,1,2,1,10000,0,1,0,0.5,1,0
231,burke-d-iso-m1,7,0.9,0.005,0.015,1.5,0,1,2,1,10000,0,1,0,1,1,0
232,burke-d-iso-m1.5,7,0.9,0.005,0.015,1.5,0,1,2,1,10000,0,1,0,1.5,1,0
233,burke-d-iso-m2,7,0.9,0.005,0.015,1.5,0,1,2,1,10000,0,1,0,2,1,0
234,rose-t-iso-m0.25,7,0.9,0.005,0.015,1.5,0,2,2,1,10000,0,0,1,1,0.25,0
235,rose-t-iso-m0.5,7,0.9,0.005,0.015,1.5,0,2,2,1,10000,0,0,1,1,0.5,0
236,rose-t-iso-m1,7,0.9,0.005,0.015,1.5,0,2,2,1,10000,0,0,1,1,1,0
237,rose-t-iso-m1.5,7,0.9,0.005,0.015,1.5,0,2,2,1,10000,0,0,1,1,1.5,0
238,rose-t-iso-m2,7,0.9,0.005,0.015,1.5,0,2,2,1,10000,0,0,1,1,2,0
239,rose-d-iso-m0.25,7,0.9,0.005,0.015,1.5,0,2,2,1,10000,0,1,0,0.25,0,0
240,rose-d-iso-m0.5,7,0.9,0.005,0.015,1.5,0,2,2,1,10000,0,1,0,0.5,1,0
241,rose-d-iso-m1,7,0.9,0.005,0.015,1.5,0,2,2,1,10000,0,1,0,1,1,0
242,rose-d-iso-m1.5,7,0.9,0.005,0.015,1.5,0,2,2,1,10000,0,1,0,1.5,1,0
243,rose-d-iso-m2,7,0.9,0.005,0.015,1.5,0,2,2,1,10000,0,1,0,2,1,0
244,hs-t-iso-m0.25,7,0.9,0.005,0.015,1.5,0,3,2,1,10000,0,0,1,1,0.25,0
